participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Monday,SumTotalEventInteractions,TodayPageGoal-Monday,FZGoal,SumTotalFZNoteInteractions,TodayPageGoal-Thursday,SumTotalLTGNoteInteractions,TodayPageGoal-Tuesday,TodayPageUse-Friday,TodayPageGoal-Wednesday,TodayPageUse-Thursday,TodayPageGoal-Saturday,TodayPageUse-Sunday,TodayPageUse-Saturday,LTGGoal,LTGFolderUse,FZFolderUse,TodayPageUse-Tuesday,TodayPageUse-Wednesday,TodayPageGoal-Sunday,TodayPageGoal-Friday
109,7.142857142857143,22.857142857142858,12.5,0,7.571428571428571,0.0,0,0.0,0.6666666666666666,0.0,0.0,0,4.666666666666667,1,1.3333333333333333,0,3,0,0.0,0.0,0,13,0.0,0.0
110,8.428571428571429,20.285714285714285,14.75,2,14.428571428571429,0.3333333333333333,1,0.14285714285714285,0.3333333333333333,0.14285714285714285,1.0,12,7.666666666666667,2,5.0,9,15,1,0.14285714285714285,0.14285714285714285,4,22,2.6666666666666665,5.0
111,11.285714285714286,33.142857142857146,19.75,0,22.142857142857142,0.0,0,0.0,1.3333333333333333,0.0,3.6666666666666665,4,5.333333333333333,3,1.0,6,2,0,0.0,0.0,12,18,2.3333333333333335,0.6666666666666666
114,5.714285714285714,12.857142857142858,10.0,8,20.285714285714285,2.6666666666666665,5,1.8571428571428572,2.6666666666666665,1.8571428571428572,11.666666666666666,15,3.6666666666666665,8,1.3333333333333333,4,3,5,0.42857142857142855,0.42857142857142855,32,12,0.6666666666666666,5.666666666666667
115,7.714285714285714,16.142857142857142,13.5,5,9.428571428571429,2.0,2,0.7142857142857143,0.3333333333333333,0.7142857142857143,8.333333333333334,2,1.3333333333333333,2,1.3333333333333333,0,5,2,0.2857142857142857,0.2857142857142857,21,4,0.0,0.6666666666666666
116,4.0,9.142857142857142,7.0,0,8.285714285714286,0.0,0,0.0,1.0,0.0,4.0,6,2.3333333333333335,2,0.0,1,0,0,0.0,0.0,12,7,0.3333333333333333,2.0
119,5.0,11.428571428571429,8.75,2,15.714285714285714,0.6666666666666666,0,0.0,3.3333333333333335,0.0,7.666666666666667,1,1.0,9,2.0,2,5,0,0.0,0.0,23,2,0.3333333333333333,0.3333333333333333
121,3.857142857142857,12.428571428571429,6.75,0,6.0,0.0,3,0.8571428571428571,0.0,0.8571428571428571,0.0,3,3.3333333333333335,0,1.0,0,2,3,0.42857142857142855,0.42857142857142855,0,14,0.0,1.0
122,4.571428571428571,11.714285714285714,8.0,0,11.428571428571429,0.0,0,0.0,0.0,0.0,0.0,0,14.333333333333334,0,0.0,0,0,0,0.0,0.0,0,36,0.0,0.0
124,3.142857142857143,7.142857142857143,5.5,0,13.571428571428571,0.0,0,0.0,2.3333333333333335,0.0,3.3333333333333335,10,4.0,8,2.0,0,5,0,0.0,0.0,10,12,0.0,4.333333333333333
125,8.571428571428571,17.571428571428573,15.0,9,13.428571428571429,3.3333333333333335,1,0.2857142857142857,0.3333333333333333,0.2857142857142857,5.0,0,2.3333333333333335,1,0.0,10,0,1,0.14285714285714285,0.14285714285714285,16,7,3.3333333333333335,0.0
128,5.285714285714286,11.714285714285714,9.25,0,13.0,0.0,0,0.0,5.0,0.0,0.0,0,7.666666666666667,10,0.0,0,0,0,0.0,0.0,0,24,0.0,0.0
129,5.571428571428571,11.571428571428571,9.75,2,12.142857142857142,0.3333333333333333,0,0.0,0.0,0.0,0.0,5,5.333333333333333,0,0.3333333333333333,0,1,0,0.0,0.0,0,13,0.0,2.3333333333333335
130,4.571428571428571,10.857142857142858,8.0,6,9.857142857142858,1.6666666666666667,0,0.0,2.0,0.0,1.0,3,5.333333333333333,7,0.0,3,0,0,0.0,0.0,5,15,1.0,1.3333333333333333
131,0.5714285714285714,1.2857142857142858,1.0,0,3.4285714285714284,0.0,0,0.0,0.0,0.0,0.0,0,4.333333333333333,0,0.0,0,0,0,0.0,0.0,0,10,0.0,0.0
132,2.142857142857143,4.142857142857143,3.75,2,8.714285714285714,0.6666666666666666,0,0.0,1.6666666666666667,0.0,0.6666666666666666,2,4.333333333333333,4,0.3333333333333333,1,2,0,0.0,0.0,3,15,0.3333333333333333,0.6666666666666666
133,0.42857142857142855,1.2857142857142858,0.75,0,2.857142857142857,0.0,0,0.0,0.0,0.0,3.3333333333333335,0,0.0,0,1.3333333333333333,0,4,0,0.0,0.0,10,0,0.0,0.0
137,2.7142857142857144,5.285714285714286,4.75,0,12.857142857142858,0.0,0,0.0,0.0,0.0,0.0,1,10.0,0,0.0,0,0,0,0.0,0.0,0,29,0.0,0.3333333333333333
140,5.285714285714286,18.714285714285715,9.25,1,10.857142857142858,0.3333333333333333,0,0.0,0.3333333333333333,0.0,0.3333333333333333,5,6.0,1,1.0,0,2,0,0.0,0.0,1,20,0.0,2.3333333333333335
142,0.8571428571428571,1.7142857142857142,1.5,0,4.714285714285714,0.0,0,0.0,0.0,0.0,0.0,0,3.0,0,0.0,0,0,0,0.0,0.0,0,9,0.0,0.0
145,0.42857142857142855,1.5714285714285714,0.75,0,6.428571428571429,0.0,1,3.0,0.0,3.0,2.0,1,1.6666666666666667,0,0.0,0,0,1,0.14285714285714285,0.14285714285714285,9,7,0.0,0.0
144,0.0,0.0,0.0,4,1.1428571428571428,1.3333333333333333,5,0.8571428571428571,0.0,0.8571428571428571,0.0,0,0.0,0,0.0,0,0,5,0.2857142857142857,0.2857142857142857,0,0,0.0,0.0
146,0.0,0.0,0.0,1,0.5714285714285714,0.0,0,0.0,0.0,0.0,1.3333333333333333,0,0.0,0,0.0,0,0,0,0.0,0.0,6,0,0.0,0.0
47,0.0,0.0,0.0,0,0.14285714285714285,0.0,0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0,0.0,0,0,0,0.0,0.0,0,1,0.0,0.0
